Date,Time,Location,Humidity,MaxTemp,Rainfall
29/03/2015,15:00:00,LUSAKA CITY AIRPOR,84,27,10.3
30/03/2015,16:00:00,LUSAKA CITY AIRPOR,78,25.7,0
31/03/2015,17:00:00,LUSAKA CITY AIRPOR,86,25.1,0
01/04/2015,18:00:00,LUSAKA CITY AIRPOR,85,,
02/04/2015,19:00:00,LUSAKA CITY AIRPOR,83,,
03/04/2015,20:00:00,LUSAKA CITY AIRPOR,65,,
04/04/2015,21:00:00,LUSAKA CITY AIRPOR,75,,
05/04/2015,22:00:00,LUSAKA CITY AIRPOR,87,,
06/04/2015,23:00:00,LUSAKA CITY AIRPOR,73,,
07/04/2015,0:00:00,LUSAKA CITY AIRPOR,89,,
08/04/2015,1:00:00,LUSAKA CITY AIRPOR,88,,
09/04/2015,2:00:00,LUSAKA CITY AIRPOR,76,,
10/04/2015,3:00:00,LUSAKA CITY AIRPOR,79,,
11/04/2015,4:00:00,LUSAKA CITY AIRPOR,,,
12/04/2015,5:00:00,LUSAKA CITY AIRPOR,73,,
13/04/2015,6:00:00,LUSAKA CITY AIRPOR,82,,
14/04/2015,7:00:00,LUSAKA CITY AIRPOR,88,,
15/04/2015,8:00:00,LUSAKA CITY AIRPOR,79,,
16/04/2015,9:00:00,LUSAKA CITY AIRPOR,93,,
17/04/2015,10:00:00,LUSAKA CITY AIRPOR,90,,
18/04/2015,11:00:00,LUSAKA CITY AIRPOR,80,,
19/04/2015,12:00:00,LUSAKA CITY AIRPOR,84,,
20/04/2015,13:00:00,LUSAKA CITY AIRPOR,84,,
21/04/2015,14:00:00,LUSAKA CITY AIRPOR,78,,
22/04/2015,15:00:00,LUSAKA CITY AIRPOR,79,,
23/04/2015,16:00:00,LUSAKA CITY AIRPOR,78,,
24/04/2015,17:00:00,LUSAKA CITY AIRPOR,71,,
25/04/2015,18:00:00,LUSAKA CITY AIRPOR,69,,
26/04/2015,19:00:00,LUSAKA CITY AIRPOR,64,,
27/04/2015,20:00:00,LUSAKA CITY AIRPOR,68,,
28/04/2015,21:00:00,LUSAKA CITY AIRPOR,59,,
29/04/2015,22:00:00,LUSAKA CITY AIRPOR,57,,
30/04/2015,23:00:00,LUSAKA CITY AIRPOR,55,,
01/05/2015,0:00:00,LUSAKA CITY AIRPOR,,27,0
02/05/2015,1:00:00,LUSAKA CITY AIRPOR,,26,0
03/05/2015,2:00:00,LUSAKA CITY AIRPOR,,25,0
04/05/2015,3:00:00,LUSAKA CITY AIRPOR,,25.6,0
05/05/2015,4:00:00,LUSAKA CITY AIRPOR,,24.8,0
06/05/2015,5:00:00,LUSAKA CITY AIRPOR,,26.5,0
07/05/2015,6:00:00,LUSAKA CITY AIRPOR,,26.5,0
08/05/2015,7:00:00,LUSAKA CITY AIRPOR,,24,0
09/05/2015,8:00:00,LUSAKA CITY AIRPOR,,22.5,0
10/05/2015,9:00:00,LUSAKA CITY AIRPOR,,25.2,0
11/05/2015,10:00:00,LUSAKA CITY AIRPOR,,25.1,0
12/05/2015,11:00:00,LUSAKA CITY AIRPOR,,25,0
13/05/2015,12:00:00,LUSAKA CITY AIRPOR,,25.7,0
14/05/2015,13:00:00,LUSAKA CITY AIRPOR,,26.5,0
15/05/2015,14:00:00,LUSAKA CITY AIRPOR,,26,0
16/05/2015,15:00:00,LUSAKA CITY AIRPOR,,25.6,0
17/05/2015,16:00:00,LUSAKA CITY AIRPOR,,25,0
18/05/2015,17:00:00,LUSAKA CITY AIRPOR,,22,0
19/05/2015,18:00:00,LUSAKA CITY AIRPOR,,24,0
20/05/2015,19:00:00,LUSAKA CITY AIRPOR,,25.2,0
21/05/2015,20:00:00,LUSAKA CITY AIRPOR,,24,0
22/05/2015,21:00:00,LUSAKA CITY AIRPOR,,23.5,0
23/05/2015,22:00:00,LUSAKA CITY AIRPOR,,22.5,0
24/05/2015,23:00:00,LUSAKA CITY AIRPOR,,22.3,0
25/05/2015,0:00:00,LUSAKA CITY AIRPOR,,23.5,0
26/05/2015,1:00:00,LUSAKA CITY AIRPOR,,24.6,0
27/05/2015,2:00:00,LUSAKA CITY AIRPOR,,25,0
28/05/2015,3:00:00,LUSAKA CITY AIRPOR,,25,0
29/05/2015,4:00:00,LUSAKA CITY AIRPOR,,25,0
30/05/2015,5:00:00,LUSAKA CITY AIRPOR,,25.5,0
31/05/2015,6:00:00,LUSAKA CITY AIRPOR,,25,0
01/06/2015,7:00:00,LUSAKA CITY AIRPOR,,26,0
02/06/2015,8:00:00,LUSAKA CITY AIRPOR,,32.6,0
03/06/2015,9:00:00,LUSAKA CITY AIRPOR,,31.4,0
04/06/2015,10:00:00,LUSAKA CITY AIRPOR,,27,0
05/06/2015,11:00:00,LUSAKA CITY AIRPOR,,23.6,0
06/06/2015,12:00:00,LUSAKA CITY AIRPOR,,22,0
07/06/2015,13:00:00,LUSAKA CITY AIRPOR,,22.6,0
08/06/2015,14:00:00,LUSAKA CITY AIRPOR,,23.8,0
09/06/2015,15:00:00,LUSAKA CITY AIRPOR,,25,0
10/06/2015,16:00:00,LUSAKA CITY AIRPOR,,21.6,0
11/06/2015,17:00:00,LUSAKA CITY AIRPOR,,21.5,0
12/06/2015,18:00:00,LUSAKA CITY AIRPOR,,22.5,0
13/06/2015,19:00:00,LUSAKA CITY AIRPOR,,21.5,0
14/06/2015,20:00:00,LUSAKA CITY AIRPOR,,21.4,0
15/06/2015,21:00:00,LUSAKA CITY AIRPOR,,21.7,0
16/06/2015,22:00:00,LUSAKA CITY AIRPOR,,22.6,0
17/06/2015,23:00:00,LUSAKA CITY AIRPOR,,21.6,0
18/06/2015,0:00:00,LUSAKA CITY AIRPOR,,25,0
19/06/2015,1:00:00,LUSAKA CITY AIRPOR,,23,0
20/06/2015,2:00:00,LUSAKA CITY AIRPOR,,21.6,0
21/06/2015,3:00:00,LUSAKA CITY AIRPOR,,21,0
22/06/2015,4:00:00,LUSAKA CITY AIRPOR,,21.4,0
23/06/2015,5:00:00,LUSAKA CITY AIRPOR,,23.5,0
24/06/2015,6:00:00,LUSAKA CITY AIRPOR,,25,0
25/06/2015,7:00:00,LUSAKA CITY AIRPOR,,26,0
26/06/2015,8:00:00,LUSAKA CITY AIRPOR,,25.4,0
27/06/2015,9:00:00,LUSAKA CITY AIRPOR,,23,0
28/06/2015,10:00:00,LUSAKA CITY AIRPOR,,23.1,0
29/06/2015,11:00:00,LUSAKA CITY AIRPOR,,23.2,0
30/06/2015,12:00:00,LUSAKA CITY AIRPOR,,23.5,0
01/09/2015,13:00:00,LUSAKA CITY AIRPOR,,30.5,0
02/09/2015,14:00:00,LUSAKA CITY AIRPOR,,29.5,0
03/09/2015,15:00:00,LUSAKA CITY AIRPOR,,32.5,0
04/09/2015,16:00:00,LUSAKA CITY AIRPOR,,31.6,0
05/09/2015,17:00:00,LUSAKA CITY AIRPOR,,26.8,0
06/09/2015,18:00:00,LUSAKA CITY AIRPOR,,26.6,0
07/09/2015,19:00:00,LUSAKA CITY AIRPOR,,29.1,0
